name,name_ar,latitude,longitude,address,address_ar
Riyadh City Center,مركز مدينة الرياض,24.7136,46.6753,King Fahd Road,طريق الملك فهد
Jeddah Corniche,كورنيش جدة,21.4858,39.1925,Corniche Road,طريق الكورنيش
Mecca Grand Mosque,المسجد الحرام,21.4225,39.8262,Al Haram,الحرم الشريف
Medina Prophet Mosque,المسجد النبوي,24.4672,39.6142,Al Masjid an Nabawi Road,طريق المسجد النبوي
Al-Ula Heritage Site,موقع العلا التراثي,26.6094,37.9267,Al-Ula Old Town,بلدة العلا القديمة
Diriyah Historic District,حي الدرعية التاريخي,24.7324,46.5692,Ad Diriyah,الدرعية
King Abdulaziz Center,مركز الملك عبدالعزيز الثقافي,26.3927,50.1059,Dhahran,الظهران
Red Sea Mall,مول البحر الأحمر,21.5169,39.1748,Prince Sultan Road,طريق الأمير سلطان
Kingdom Centre,مركز المملكة,24.7118,46.6747,King Fahd Road,طريق الملك فهد
Taif Rose Gardens,حدائق الورد بالطائف,21.2703,40.4178,Al Hada Road,طريق الهدا
Abha City Center,مركز مدينة أبها,18.2164,42.5047,King Khalid Road,طريق الملك خالد
Dammam Corniche,كورنيش الدمام,26.4282,50.1059,Corniche Road,طريق الكورنيش
Najran Castle,قلعة نجران,17.4924,44.1277,Old Najran,نجران القديمة
Tabuk Castle,قلعة تبوك,28.3998,36.5653,Tabuk Old City,مدينة تبوك القديمة
Al Khobar Waterfront,واجهة الخبر البحرية,26.2172,50.1971,Prince Faisal Road,طريق الأمير فيصل
Yanbu Historic Port,ميناء ينبع التاريخي,24.0889,38.0617,Yanbu Al Bahr,ينبع البحر
Qassim Date Market,سوق التمور بالقصيم,26.3269,43.9750,Buraydah Center,مركز بريدة
Hail Rock Art,فنون الصخور بحائل,27.5114,41.6900,Jubbah,جبة
Jazan Corniche,كورنيش جازان,16.8892,42.5511,Jazan Waterfront,واجهة جازان البحرية
Al Bahah Mountains,جبال الباحة,20.0129,41.4687,Al Bahah City,مدينة الباحة
